Restaurant_ID_z,Client_Sharing_Code_z,Identifier_z,Order_ID_z,Order_Status_z,Received_Time_z,Accepted_Time_z,Mark_Ready_Time_z,Rider_Arrival_Time_z,Picked_up_Time_z,Delivered_Time_z,Cancelled_Time_z,Prep_time_in_Minutes,Delivery_time_in_Minutes
126543.0,5ojxvbyp,,6250648915.0,Delivered,2024-10-13 19:02:09+00:00,2024-10-13 19:02:10+00:00,2024-10-13 19:35:04+00:00,2024-10-13 19:23:31+00:00,2024-10-13 19:35:49+00:00,2024-10-13 20:03:35+00:00,nan,32,28
126543.0,5ojxvbyp,,6264548996.0,Delivered,2024-10-13 12:14:38+00:00,2024-10-13 12:14:39+00:00,2024-10-13 12:49:16+00:00,2024-10-13 12:29:58+00:00,2024-10-13 12:50:00+00:00,2024-10-13 12:58:22+00:00,nan,34,9
126543.0,5ojxvbyp,,6263365639.0,Delivered,2024-10-13 19:23:10+00:00,2024-10-13 19:23:11+00:00,2024-10-13 19:54:54+00:00,2024-10-13 19:48:50+00:00,2024-10-13 19:55:58+00:00,2024-10-13 20:11:06+00:00,nan,31,16
126543.0,5ojxvbyp,,6271050101.0,Delivered,2024-10-15 19:19:43+00:00,2024-10-15 19:19:44+00:00,2024-10-15 20:03:01+00:00,2024-10-15 19:33:09+00:00,2024-10-15 20:05:21+00:00,2024-10-15 20:13:40+00:00,nan,43,10
126543.0,5ojxvbyp,,6266545751.0,Delivered,2024-10-13 19:49:28+00:00,2024-10-13 19:49:28+00:00,2024-10-13 20:22:46+00:00,2024-10-13 20:13:18+00:00,2024-10-13 20:23:15+00:00,2024-10-13 20:28:34+00:00,nan,33,5
126543.0,5ojxvbyp,,6266369753.0,Delivered,2024-10-14 19:07:05+00:00,2024-10-14 19:07:05+00:00,2024-10-14 19:44:34+00:00,2024-10-14 19:29:16+00:00,2024-10-14 19:45:12+00:00,2024-10-14 20:02:08+00:00,nan,37,17
126543.0,5ojxvbyp,,6267578329.0,Delivered,2024-10-16 12:27:33+00:00,2024-10-16 12:27:33+00:00,2024-10-16 12:59:17+00:00,2024-10-16 13:00:19+00:00,2024-10-16 13:01:20+00:00,2024-10-16 13:35:35+00:00,nan,31,36
126543.0,5ojxvbyp,,6264874414.0,Delivered,2024-10-16 19:07:09+00:00,2024-10-16 19:07:09+00:00,2024-10-16 19:38:48+00:00,2024-10-16 19:14:03+00:00,2024-10-16 19:39:30+00:00,2024-10-16 19:57:59+00:00,nan,31,19
126543.0,5ojxvbyp,,6266584577.0,Delivered,2024-10-13 20:35:34+00:00,2024-10-13 20:35:35+00:00,2024-10-13 21:11:43+00:00,2024-10-13 20:59:48+00:00,2024-10-13 21:11:59+00:00,2024-10-13 21:26:17+00:00,nan,36,14
126543.0,5ojxvbyp,,6264807029.0,Delivered,2024-10-13 19:58:47+00:00,2024-10-13 19:58:48+00:00,2024-10-13 20:36:55+00:00,2024-10-13 20:33:07+00:00,2024-10-13 20:38:59+00:00,2024-10-13 20:57:04+00:00,nan,38,20
126543.0,5ojxvbyp,,6262979825.0,Delivered,2024-10-13 19:48:21+00:00,2024-10-13 19:48:23+00:00,2024-10-13 20:22:44+00:00,2024-10-13 20:13:15+00:00,2024-10-13 20:24:06+00:00,2024-10-13 21:01:28+00:00,nan,34,38
