Customer,Total_Cost
Zomato Hyperpure Pvt.Ltd.Mumbai,353658.5390000002
Veggies Traders,254909.45
PKM TRADING,159338.0
Honest MASALAs,148029.25000000003
The BROILER,107934.0
NFS Goods,98675.0
The Coffee Company,96318.2
Suraj Cream Centre,80754.5
ELITE ENTERPRISE,68735.0
Foodiee Singh,65819.5
Bisleri International Pvt Ltd,64619.996
Vihana Ventures,62681.600000000006
FREEZE FRESH,59760.0
Banana Chips Traders,57140.0
GLOBAL ENTERPRISES,48090.33999999998
Meat 4 You Traders,45540.0
Matergasti Agencies,41649.382
Biour Hygiene Solutions,39086.5
UPTA MILK CENTER,36305.0
MARDI GRAS SPIRITS,31764.898
VMA Distributors,30520.813000000006
Amul Store,30515.0
GODESS MARKKETING,29586.796
ROYAL DAIRY,29106.000000000007
RAJ HARDWARE,28887.199999999997
Kajal S. Rajput,25025.0
CANDY SPIRITS PVT .LTD.,23122.15
Shree Nakoda Disributors,20426.98
J.K.D ENTERPRISES,20102.951999999997
OMNI PACKAGING,17892.2
IMPRESS PAPER CONVERTERS,17110.0
The Khans,14300.0
Apna Enterprises,13780.007000000001
Pro Pack Trading LLP,13469.7
Vita Sales,13200.015
SS Sales Agencies,12818.855
GEM ICE CUBES,10360.0
Anil TRADING,8816.96
LANDMARK MERCH PVT. LTD.,8689.872
Macaroncollab Llp,7875.0
DATTAKRUPA ENTERPRISE,7724.000000000002
G SUPPLIERS,7460.0
PANKAJ MADHAV HONALE,7100.0
FAV ICE CREAM,6159.6
Miana Foods,6037.5
Candy Wines & Stores,5934.36
JAYPEE ENTERPRISES,5841.0
TOATS PRIVATE LIMITED,5031.0
Cash Exps Store,4899.001
JB Ceramics,4838.4
Raj Foods,4750.0
Shivalik India Alco Pvt Ltd,3241.488
FRESH FOOD SERVICES,3240.03
Raj Stationary & Xerox,3218.0
Blue Stores,2921.0
Taru Naturals Privited Limited,1890.0
DILGEER KHAN,1750.0
Bakes and Packs,1470.0
Joyco,952.0
