Festivals,From,To,Religion
Sankranti,15-01-2024,15-01-2024,Hindu
Shivaji Jayanti,19-02-2024,19-02-2024,Hindu
Maha Shivratri,08-03-2024,08-03-2024,Hindu
Holi,25-03-2024,25-03-2024,Hindu
Good Friday,29-03-2024,29-03-2024,Christianity
Easter,31-03-2024,31-03-2024,Christianity
Jamat-ul-Vida,05-04-2024,05-04-2024,Islam
Gudi Padwa,09-04-2024,09-04-2024,Hindu
Ramadan,11-03-2024,10-04-2024,Islam
Eid-al-Fitr,10-04-2024,10-04-2024,Islam
Ram Navami,17-04-2024,17-04-2024,Hindu
Mahavir Swami Jayanti,21-04-2024,21-04-2024,Jain
Buddha Purnima ,23-05-2024,23-05-2024,Hindu
Eid-al-Adha,17-06-2024,17-06-2024,Islam
Islamic New Year,08-07-2024,08-07-2024,Islam
Muharram,17-07-2024,17-07-2024,Islam
Guru Purnima,21-07-2024,21-07-2024,Hindu
Raksha Bandhan,19-08-2024,19-08-2024,Hindu
Janmashtami,26-08-2024,26-08-2024,Hindu
Paryushan,31-08-2024,07-09-2024,Jain
Ganesh Chaturthi,07-09-2024,18-09-2024,Hindu
Eid-e-Milad,16-09-2024,16-09-2024,Islam
Navratri,03-10-2024,11-10-2024,Hindu
Dusshera,12-10-2024,12-10-2024,Hindu
Karwa Chauth,20-10-2024,20-10-2024,Hindu
Dhanteras,29-10-2024,29-10-2024,Hindu
Halloween,31-10-2024,31-10-2024,Christianity
Diwali ,01-11-2024,01-11-2024,Hindu
Bhai Dooj,03-11-2024,03-11-2024,Hindu
Thanksgiving,28-11-2024,28-11-2024,Christianity
Christmas,25-12-2024,25-12-2024,Christianity
New year's eve,31-12-2024,31-12-2024,Christianity
